,type,rank,player,count,team,position,image
26,KT,7,장성우,54,kt,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F6140e31d-bddb-44e0-a42a-14da77a1c9f4.png
27,KT,8,쿠에바스,48,-,-,-
28,KT,9,박병호,48,kt,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fd78eeb73-585d-4f31-8a9b-f8c74523c5b5.png
29,KT,10,황재균,44,kt,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F348e05be-6342-4aaa-b917-8170af2b4677.png
30,SSG,1,앤더슨,227,-,-,-
31,SSG,2,송영진,100,SSG,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F223b0791-3a5b-4211-97ab-cfcc9dd2d719.png
32,SSG,3,박성한,97,SSG,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fb31c4d9b-bb77-46e6-9316-737d7ac08dd7.png
33,SSG,4,최정,78,SSG,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Ffa5813b2-61ca-4e8f-b97c-5ff58ff48b4a.png
34,SSG,5,김광현,76,SSG,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F75c48e74-60ac-43a5-bf49-0e8905c53520.png
35,SSG,6,김민,47,kt,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fc44da12e-fff7-45de-bb00-d5248fc6c62b.png
36,SSG,7,이지영,46,SSG,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F91b67fe4-ca76-4162-9c22-3cff0e0dde3e.png
37,SSG,8,김민식,45,SSG,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fa5ab89ec-3ee2-4a9c-ac47-7ce1e4655ee9.png
38,SSG,9,오원석,44,SSG,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F85801f8d-c25c-4006-a533-eca25bb721e6.png
39,SSG,10,문승원,37,SSG,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fadc7a067-eff7-490e-9b9f-7dd97d7d33d8.png
40,NC,1,손아섭,222,NC,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F9940e59c-f022-4830-9445-5a2b21c8edfe.png
41,NC,2,김주원,167,NC,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fe8b4ba7e-a3df-49a8-a1f9-908c40a7c46f.png
42,NC,3,데이비슨,127,-,-,-
43,NC,4,김형준,90,NC,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fc4b4eaf4-a93e-4de9-bde7-8d4907634d7c.png
44,NC,5,서호철,78,NC,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F234a3845-3008-47f7-94f6-bb6c491f9301.png
45,NC,6,박민우,70,NC,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F670bbef4-e222-4294-b9e6-4f6d1e52252e.png
46,NC,7,하트,68,-,-,-
47,NC,8,신영우,57,NC,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fd6327414-005e-47b6-ad72-24bb6a0ecf31.png
48,NC,9,박건우,56,NC,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F56a50a94-b552-48ea-bba3-e0bc71315968.png
49,NC,10,권희동,50,NC,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F601d96c5-5bb9-4c7b-adee-cc0209bc904f.png
50,두산,1,곽빈,305,두산,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fef1ed875-3388-44ea-8a8a-2d408a66f458.png
51,두산,2,양의지,294,두산,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F79%2F202304041538383501.png
52,두산,3,허경민,253,두산,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fff68c699-9a03-4e40-9eb7-d5a26760b492.png
53,두산,4,라모스,235,-,-,-
54,두산,5,양석환,176,두산,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fc1f1ed79-f238-42a6-a428-f2fd3a795c76.png
55,두산,6,강승호,172,두산,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F8e4ce51a-9abd-4823-b6ab-6ab3dbfce8ca.png
